,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A2LT3JXVPP70A&qualifier=1681625868&id=4199317751909226&widgetName=sp_atf&url=%2FCONCEIVE-PLUS-Pregnancy-Conception-Supplement%2Fdp%2FB097H4CNKM%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DPrenatal%2Bvitamin%26qid%3D1681625868%26sr%3D8-1-spons%26psc%3D1,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/NaturoBest-Prenatal-Trimester-Ginger-Capsules/dp/B08D5XDYYQ/ref=sr_1_2?keywords=Prenatal+vitamin&qid=1681625868&sr=8-2,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/CONCEIVE-PLUS-Pregnancy-Conception-Supplement/dp/B097H4CNKM/ref=sr_1_3?keywords=Prenatal+vitamin&qid=1681625868&sr=8-3,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/NATUROBEST-Prenatal-Trimester-Ginger-Capsules/dp/B08D6FCT7L/ref=sr_1_4?keywords=Prenatal+vitamin&qid=1681625868&sr=8-4,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Prenatal-Vitamin-Gummies-Folic-Acid/dp/B092FJF543/ref=sr_1_5?keywords=Prenatal+vitamin&qid=1681625868&sr=8-5,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/CONCEIVE-PLUS-Fertility-Supplements-Volumizer/dp/B073596715/ref=sr_1_6?keywords=Prenatal+vitamin&qid=1681625868&sr=8-6,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/One-Womens-Prenatal-Gummies-Count/dp/B01HDIV42Y/ref=sr_1_7?keywords=Prenatal+vitamin&qid=1681625868&sr=8-7,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/Strength-Prenatal-Nutrition-Supplement-Pregnancy/dp/B07W7NJHJ9/ref=sr_1_8?keywords=Prenatal+vitamin&qid=1681625868&sr=8-8,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Natures-Own-Pregnancy-Breastfeeding-Mini/dp/B0BPSNPTS6/ref=sr_1_9?keywords=Prenatal+vitamin&qid=1681625868&sr=8-9,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/SMARTYPANTS-Smartypants-Prenatal-Multivitamin-Bottle/dp/B08H3W471C/ref=sr_1_10?keywords=Prenatal+vitamin&qid=1681625868&sr=8-10,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/Pink-Stork-Total-Prenatal-Gummies/dp/B08YP4PMY6/ref=sr_1_11?keywords=Prenatal+vitamin&qid=1681625868&sr=8-11,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/Natures-Aid-Pregnancy-Multi-Vitamins-Essential/dp/B00CXUTQ6O/ref=sr_1_12?keywords=Prenatal+vitamin&qid=1681625868&sr=8-12,"Prenatal vitamin
",2023-04-16
12,https://www.amazon.com.au/Blackmores-Pregnancy-Breast-Feeding-Gold-Capsules/dp/B076VXQ39K/ref=sr_1_13?keywords=Prenatal+vitamin&qid=1681625868&sr=8-13,"Prenatal vitamin
",2023-04-16
13,https://www.amazon.com.au/Freshfield-Prenatal-Vegan-Omega-Supplement/dp/B0BHXKMK83/ref=sr_1_14?keywords=Prenatal+vitamin&qid=1681625868&sr=8-14,"Prenatal vitamin
",2023-04-16
14,https://www.amazon.com.au/Supplebears-Folic-Acid-Gummies-400mcg/dp/B0B4HPZVQ4/ref=sr_1_15?keywords=Prenatal+vitamin&qid=1681625868&sr=8-15,"Prenatal vitamin
",2023-04-16
15,https://www.amazon.com.au/Needed-Hydration-Support-Electrolytes-Concentrate/dp/B09S6WWLTP/ref=sr_1_16?keywords=Prenatal+vitamin&qid=1681625868&sr=8-16,"Prenatal vitamin
",2023-04-16
16,https://www.amazon.com.au/Natures-Way-Prenatal-Premium-Multivitamin/dp/B00S970XPS/ref=sr_1_17?keywords=Prenatal+vitamin&qid=1681625868&sr=8-17,"Prenatal vitamin
",2023-04-16
17,https://www.amazon.com.au/CONCEIVE-PLUS-Myo-Inositol-D-Chiro-Inositol/dp/B097FDXMCL/ref=sr_1_18?keywords=Prenatal+vitamin&qid=1681625868&sr=8-18,"Prenatal vitamin
",2023-04-16
18,https://www.amazon.com.au/MENEVIT-Fertility-Supplement-Capsules-grams/dp/B08P49XYTS/ref=sr_1_19?keywords=Prenatal+vitamin&qid=1681625868&sr=8-19,"Prenatal vitamin
",2023-04-16
19,https://www.amazon.com.au/Prenatal-Vitamin-Gummies-Folic-Acid/dp/B0BL97382S/ref=sr_1_20?keywords=Prenatal+vitamin&qid=1681625868&sr=8-20,"Prenatal vitamin
",2023-04-16
20,https://www.amazon.com.au/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1ENRV1GTBK692&qualifier=1681625868&id=4199317751909226&widgetName=sp_mtf&url=%2FSHOJO-Manuka-Honey-Vitamin-Tonic%2Fdp%2FB0BGZFJPH5%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DPrenatal%2Bvitamin%26qid%3D1681625868%26sr%3D8-21-spons%26psc%3D1,"Prenatal vitamin
",2023-04-16
21,https://www.amazon.com.au/NOW-Prenatal-Gels-DHA-Softgels/dp/B0096M3TW4/ref=sr_1_22?keywords=Prenatal+vitamin&qid=1681625868&sr=8-22,"Prenatal vitamin
",2023-04-16
22,https://www.amazon.com.au/Enfamil-Enfamom-Prenatal-Supplement-softgels/dp/B085GTS71H/ref=sr_1_23?keywords=Prenatal+vitamin&qid=1681625868&sr=8-23,"Prenatal vitamin
",2023-04-16
23,https://www.amazon.com.au/Prenatal-Methylated-Methylfolate-Pregnancy-Strawberry/dp/B0BWKF3YY6/ref=sr_1_24?keywords=Prenatal+vitamin&qid=1681625868&sr=8-24,"Prenatal vitamin
",2023-04-16
24,https://www.amazon.com.au/HivoNutra-Fertility-Supplement-Gummies-Women/dp/B09XQKYX53/ref=sr_1_25?keywords=Prenatal+vitamin&qid=1681625868&sr=8-25,"Prenatal vitamin
",2023-04-16
25,https://www.amazon.com.au/Conceive-Plus-Motility-Fertility-Support/dp/B087N36FF2/ref=sr_1_26?keywords=Prenatal+vitamin&qid=1681625868&sr=8-26,"Prenatal vitamin
",2023-04-16
26,https://www.amazon.com.au/Pack-Vitamatic-Folic-Acid-Gummies/dp/B0B9LNH6N1/ref=sr_1_27?keywords=Prenatal+vitamin&qid=1681625868&sr=8-27,"Prenatal vitamin
",2023-04-16
27,https://www.amazon.com.au/Vibrant-Prenatal-Multivitamins-Natural-Selfcare/dp/B08467KQYD/ref=sr_1_28?keywords=Prenatal+vitamin&qid=1681625868&sr=8-28,"Prenatal vitamin
",2023-04-16
28,https://www.amazon.com.au/Baby-Blues-Postpartum-Hair-Vitamins/dp/B09M1ZBQKK/ref=sr_1_29?keywords=Prenatal+vitamin&qid=1681625868&sr=8-29,"Prenatal vitamin
",2023-04-16
29,https://www.amazon.com.au/Natures-Bounty-Prenatal-Gummies-60/dp/B07NNRWLT9/ref=sr_1_30?keywords=Prenatal+vitamin&qid=1681625868&sr=8-30,"Prenatal vitamin
",2023-04-16
30,https://www.amazon.com.au/Lifeable-Prenatal-Multivitamin-Vegetarian-Supplement/dp/B09G3KLDJP/ref=sr_1_31?keywords=Prenatal+vitamin&qid=1681625868&sr=8-31,"Prenatal vitamin
",2023-04-16
31,https://www.amazon.com.au/Folic-Acid-Prenatal-Gummy-Women/dp/B0BHKQRR89/ref=sr_1_32?keywords=Prenatal+vitamin&qid=1681625868&sr=8-32,"Prenatal vitamin
",2023-04-16
32,https://www.amazon.com.au/Postnatal-Methylated-Methylfolate-Pregnancy-Strawberry/dp/B0BWKFMLGD/ref=sr_1_33?keywords=Prenatal+vitamin&qid=1681625868&sr=8-33,"Prenatal vitamin
",2023-04-16
33,https://www.amazon.com.au/Baby-Booster-Strawberry-Supplement-Vegetarian/dp/B09FFTW4KQ/ref=sr_1_34?keywords=Prenatal+vitamin&qid=1681625868&sr=8-34,"Prenatal vitamin
",2023-04-16
34,https://www.amazon.com.au/Vitamatic-Folic-Acid-Gummies-1000/dp/B0B3SWDVNZ/ref=sr_1_35?keywords=Prenatal+vitamin&qid=1681625868&sr=8-35,"Prenatal vitamin
",2023-04-16
35,https://www.amazon.com.au/Smartypants-Prenatal-Complete-180-Count/dp/B01FWNX1X2/ref=sr_1_36?keywords=Prenatal+vitamin&qid=1681625868&sr=8-36,"Prenatal vitamin
",2023-04-16
36,https://www.amazon.com.au/Baby-Booster-Prenatal-Supplement-Vegetarian/dp/B09TQ19CH1/ref=sr_1_37?keywords=Prenatal+vitamin&qid=1681625868&sr=8-37,"Prenatal vitamin
",2023-04-16
37,https://www.amazon.com.au/Rootd-Pregnancy-Multivitamin-Probiotics-Effervescent/dp/B084Q8TP2S/ref=sr_1_38?keywords=Prenatal+vitamin&qid=1681625868&sr=8-38,"Prenatal vitamin
",2023-04-16
38,https://www.amazon.com.au/NATALIST-850014758394-Natalist-Prenatal-Gummies/dp/B0B194HDGF/ref=sr_1_39?keywords=Prenatal+vitamin&qid=1681625868&sr=8-39,"Prenatal vitamin
",2023-04-16
39,https://www.amazon.com.au/Prenatal-Multivitamin-Exclusive-Vitamins-Minerals/dp/B0BJGJZVDQ/ref=sr_1_40?keywords=Prenatal+vitamin&qid=1681625868&sr=8-40,"Prenatal vitamin
",2023-04-16
40,https://www.amazon.com.au/Seeking-Health-Plant-Based-Vegetarian-Multivitamin/dp/B00HZTI7SG/ref=sr_1_41?keywords=Prenatal+vitamin&qid=1681625868&sr=8-41,"Prenatal vitamin
",2023-04-16
41,https://www.amazon.com.au/Natures-Bounty-Solutions-Essential-Prenatal/dp/B07BHTVTL2/ref=sr_1_42?keywords=Prenatal+vitamin&qid=1681625868&sr=8-42,"Prenatal vitamin
",2023-04-16
42,https://www.amazon.com.au/Prenatal-Postnatal-MaryRuths-Cognitive-Wellness/dp/B08LQXYVCJ/ref=sr_1_43?keywords=Prenatal+vitamin&qid=1681625868&sr=8-43,"Prenatal vitamin
",2023-04-16
43,https://www.amazon.com.au/Seeking-Health-High-Quality-Vegetarian-Development/dp/B00HZTI7SQ/ref=sr_1_44?keywords=Prenatal+vitamin&qid=1681625868&sr=8-44,"Prenatal vitamin
",2023-04-16
44,https://www.amazon.com.au/Prenatal-Multivitamin-Fertility-Supplement-180ct/dp/B0B71GB3YJ/ref=sr_1_45?keywords=Prenatal+vitamin&qid=1681625868&sr=8-45,"Prenatal vitamin
",2023-04-16
45,https://www.amazon.com.au/SmartyPants-Smartypants-Prenatal-Formula-80ct/dp/B071KZC4TN/ref=sr_1_46?keywords=Prenatal+vitamin&qid=1681625868&sr=8-46,"Prenatal vitamin
",2023-04-16
46,https://www.amazon.com.au/VitaVida-Naturals-Complete-Prenatal-SugarFree/dp/B0B43XB3H6/ref=sr_1_47?keywords=Prenatal+vitamin&qid=1681625868&sr=8-47,"Prenatal vitamin
",2023-04-16
47,https://www.amazon.com.au/Best-Naturals-Vitamin-5000-Softgels/dp/B00IDDQBF4/ref=sr_1_48?keywords=Prenatal+vitamin&qid=1681625868&sr=8-48,"Prenatal vitamin
",2023-04-16
48,https://www.amazon.com.au/SUPPZAAR-Prenatal-Development-Pregnancy-Gluten-Free/dp/B09KNCHNBR/ref=sr_1_49?keywords=Prenatal+vitamin&qid=1681625868&sr=8-49,"Prenatal vitamin
",2023-04-16
49,https://www.amazon.com.au/Australian-NaturalCare-Multi-Vitamins-Minerals/dp/B07CLLZ98H/ref=sr_1_50?keywords=Prenatal+vitamin&qid=1681625868&sr=8-50,"Prenatal vitamin
",2023-04-16
