,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/Pregnant-Figurine-Imitation-Maternal-Ornaments/dp/B0BMYY3LMT/ref=sr_1_145?keywords=Prenatal+vitamin&qid=1681625884&sr=8-145,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/Premium-Mens-Fertility-Support-Supplement/dp/B07YZP8QWZ/ref=sr_1_146?keywords=Prenatal+vitamin&qid=1681625884&sr=8-146,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/EZ-Melts-Multivitamin-Sublingual-Vitamins/dp/B00VVQMGMM/ref=sr_1_147?keywords=Prenatal+vitamin&qid=1681625884&sr=8-147,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/Birthing-Woman-Sculpture-Imitation-Decoration/dp/B0BVBNKKG9/ref=sr_1_148?keywords=Prenatal+vitamin&qid=1681625884&sr=8-148,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Pregnancy-Figurine-Waterproof-Sculpture-Generic/dp/B0BPDKZCHB/ref=sr_1_149?keywords=Prenatal+vitamin&qid=1681625884&sr=8-149,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/Ritual-Synbiotic-Postbiotic-Clinically-Studied-Delayed-Released/dp/B0B5KDNTWS/ref=sr_1_150?keywords=Prenatal+vitamin&qid=1681625884&sr=8-150,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/FERTILITY-PLUS-CONCEPTION-SUPPORT-PREGNANT/dp/B00XV0FG4G/ref=sr_1_151?keywords=Prenatal+vitamin&qid=1681625884&sr=8-151,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/Garden-Life-Vitamin-Tablets-Organic/dp/B07BC8KPKQ/ref=sr_1_152?keywords=Prenatal+vitamin&qid=1681625884&sr=8-152,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Birthing-Sculpture-Imitation-Mother-Statue/dp/B0BV6ZNGCB/ref=sr_1_153?keywords=Prenatal+vitamin&qid=1681625884&sr=8-153,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/CHEERS-Cheers-Multivitamin/dp/B07G8CG6BS/ref=sr_1_154?keywords=Prenatal+vitamin&qid=1681625884&sr=8-154,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/Multivitamin-B-Vitamin-Supports-Function-Flavored/dp/B00DG8QFCK/ref=sr_1_145?keywords=Prenatal+vitamin&qid=1681625884&sr=8-145,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/Pregnancy-Statue-Figurine-Waterproof-Sculpture/dp/B0BPDWBPVC/ref=sr_1_146?keywords=Prenatal+vitamin&qid=1681625884&sr=8-146,"Prenatal vitamin
",2023-04-16
12,https://www.amazon.com.au/Piping-Rock-Multivitamin-Supplement-Tablets/dp/B08QL37WCX/ref=sr_1_147?keywords=Prenatal+vitamin&qid=1681625884&sr=8-147,"Prenatal vitamin
",2023-04-16
13,https://www.amazon.com.au/Actif-Organic-Multivitamin-Vitamins-Non-GMO/dp/B075RFFZ1H/ref=sr_1_148?keywords=Prenatal+vitamin&qid=1681625884&sr=8-148,"Prenatal vitamin
",2023-04-16
14,https://www.amazon.com.au/Natures-Way-Complete-Daily-Multivitamin-Tablets/dp/B09GYPHR1K/ref=sr_1_149?keywords=Prenatal+vitamin&qid=1681625884&sr=8-149,"Prenatal vitamin
",2023-04-16
15,https://www.amazon.com.au/KappaVita-Multivitamin-Gummy-Vitamins-Lycopene/dp/B09RNH1X92/ref=sr_1_150?keywords=Prenatal+vitamin&qid=1681625884&sr=8-150,"Prenatal vitamin
",2023-04-16
16,https://www.amazon.com.au/KappaVita-Mens-Daily-Multivitamin-Capsule/dp/B09RKQSGTD/ref=sr_1_151?keywords=Prenatal+vitamin&qid=1681625884&sr=8-151,"Prenatal vitamin
",2023-04-16
17,https://www.amazon.com.au/150-Vitafusion-Womens-Gummy-Vitamins/dp/B071ZJHLJR/ref=sr_1_152?keywords=Prenatal+vitamin&qid=1681625884&sr=8-152,"Prenatal vitamin
",2023-04-16
18,https://www.amazon.com.au/Birthing-Woman-Sculpture-Longlasting-Waterproof/dp/B0BMZ95WVH/ref=sr_1_153?keywords=Prenatal+vitamin&qid=1681625884&sr=8-153,"Prenatal vitamin
",2023-04-16
19,https://www.amazon.com.au/Natures-Bounty-Multivitamin-Raspberry-Flavored/dp/B00WF8A7MQ/ref=sr_1_154?keywords=Prenatal+vitamin&qid=1681625884&sr=8-154,"Prenatal vitamin
",2023-04-16
20,https://www.amazon.com.au/Wellman-Vitabiotics-Conception-30-Tablets/dp/B003JBRQ9A/ref=sr_1_155?keywords=Prenatal+vitamin&qid=1681625884&sr=8-155,"Prenatal vitamin
",2023-04-16
21,https://www.amazon.com.au/Promise-Essentials-Womens-Multivitamin-Healthy/dp/B07DMNSC1K/ref=sr_1_156?keywords=Prenatal+vitamin&qid=1681625884&sr=8-156,"Prenatal vitamin
",2023-04-16
22,https://www.amazon.com.au/AWY-MultiGummies-Multivitamin-Multimineral-Supplement/dp/B0B7KLS3T2/ref=sr_1_157?keywords=Prenatal+vitamin&qid=1681625884&sr=8-157,"Prenatal vitamin
",2023-04-16
23,https://www.amazon.com.au/PreSteps-Daily-Multivitamin-Multivitamins-CaliVita/dp/B084Q6DN7X/ref=sr_1_158?keywords=Prenatal+vitamin&qid=1681625884&sr=8-158,"Prenatal vitamin
",2023-04-16
24,https://www.amazon.com.au/Daily-Multivitamin-Supplement-Women-Multi-Vitamin/dp/B075KPV6VB/ref=sr_1_159?keywords=Prenatal+vitamin&qid=1681625884&sr=8-159,"Prenatal vitamin
",2023-04-16
25,https://www.amazon.com.au/BariSlim-Bariatric-Multivitamin-Pack-Formulated/dp/B07TFBGBWS/ref=sr_1_160?keywords=Prenatal+vitamin&qid=1681625884&sr=8-160,"Prenatal vitamin
",2023-04-16
26,https://www.amazon.com.au/Pregnacare-His-Her-Conception-Pack/dp/B01IR289Y6/ref=sr_1_161?keywords=Prenatal+vitamin&qid=1681625884&sr=8-161,"Prenatal vitamin
",2023-04-16
27,https://www.amazon.com.au/Baby-Blues-Superfood-Gummies-Pieces/dp/B09NF75ZZ8/ref=sr_1_162?keywords=Prenatal+vitamin&qid=1681625884&sr=8-162,"Prenatal vitamin
",2023-04-16
28,https://www.amazon.com.au/Country-Life-Multivitamin-Women-Daily/dp/B00U0UXFX4/ref=sr_1_163?keywords=Prenatal+vitamin&qid=1681625884&sr=8-163,"Prenatal vitamin
",2023-04-16
29,https://www.amazon.com.au/Kirkland-Signature-Women-Multivitamin-Tablets/dp/B08T3D93Q7/ref=sr_1_164?keywords=Prenatal+vitamin&qid=1681625884&sr=8-164,"Prenatal vitamin
",2023-04-16
30,https://www.amazon.com.au/Vitanica-Womens-Symmetry-Vegetarian-Capsules/dp/B0002BB7S6/ref=sr_1_165?keywords=Prenatal+vitamin&qid=1681625884&sr=8-165,"Prenatal vitamin
",2023-04-16
31,https://www.amazon.com.au/Natures-Way-Premium-Multivitamin-Serving/dp/B00BDC37WW/ref=sr_1_166?keywords=Prenatal+vitamin&qid=1681625884&sr=8-166,"Prenatal vitamin
",2023-04-16
32,https://www.amazon.com.au/New-Chapter-Perfect-Whole-Food-Multivitamin/dp/B0050HLBMY/ref=sr_1_167?keywords=Prenatal+vitamin&qid=1681625884&sr=8-167,"Prenatal vitamin
",2023-04-16
33,https://www.amazon.com.au/Trader-Joes2-Multivitamin-Multimineral-Supplement/dp/B09S3FHKV1/ref=sr_1_168?keywords=Prenatal+vitamin&qid=1681625884&sr=8-168,"Prenatal vitamin
",2023-04-16
34,https://www.amazon.com.au/Instaflex-Multivitamin-Supports-Mobility-Tablets/dp/B0B9NXX3XQ/ref=sr_1_169?keywords=Prenatal+vitamin&qid=1681625884&sr=8-169,"Prenatal vitamin
",2023-04-16
35,https://www.amazon.com.au/Carlyle-Multivitamin-Caplets-Vitamin-Supplement/dp/B091BD1W85/ref=sr_1_170?keywords=Prenatal+vitamin&qid=1681625884&sr=8-170,"Prenatal vitamin
",2023-04-16
36,https://www.amazon.com.au/Trader-Potency-Multivitamin-Multimineral-Supplement/dp/B09S3NJ8XF/ref=sr_1_171?keywords=Prenatal+vitamin&qid=1681625884&sr=8-171,"Prenatal vitamin
",2023-04-16
37,https://www.amazon.com.au/One-Day-Healthy-Advantage-Multivitamins/dp/B01IAISO1K/ref=sr_1_172?keywords=Prenatal+vitamin&qid=1681625884&sr=8-172,"Prenatal vitamin
",2023-04-16
38,https://www.amazon.com.au/Pregnant-Longlasting-Waterproof-Sculpture-Generic/dp/B0BMZ75G4H/ref=sr_1_173?keywords=Prenatal+vitamin&qid=1681625884&sr=8-173,"Prenatal vitamin
",2023-04-16
39,https://www.amazon.com.au/Pure-Healthy-Multivitamins-Chewable-Gummies/dp/B093HD9DTY/ref=sr_1_174?keywords=Prenatal+vitamin&qid=1681625884&sr=8-174,"Prenatal vitamin
",2023-04-16
40,https://www.amazon.com.au/JS-Health-Formula-Multivitamin-Tablets/dp/B09WML6M58/ref=sr_1_175?keywords=Prenatal+vitamin&qid=1681625884&sr=8-175,"Prenatal vitamin
",2023-04-16
41,https://www.amazon.com.au/Jamieson-Complete-Chewable-Multivitamin-chewable/dp/B09C36Y5CC/ref=sr_1_176?keywords=Prenatal+vitamin&qid=1681625884&sr=8-176,"Prenatal vitamin
",2023-04-16
42,https://www.amazon.com.au/Safe-Fair-Food-Company-Multivitamin/dp/B0BWH6FZR2/ref=sr_1_177?keywords=Prenatal+vitamin&qid=1681625884&sr=8-177,"Prenatal vitamin
",2023-04-16
43,https://www.amazon.com.au/BariSlim-Advanced-Chewable-Bariatric-Multivitamin/dp/B09ZYNNH3L/ref=sr_1_178?keywords=Prenatal+vitamin&qid=1681625884&sr=8-178,"Prenatal vitamin
",2023-04-16
44,https://www.amazon.com.au/NatureCity-TrueMulti-Multivitamin-Veggie-Capsules/dp/B01349A2WE/ref=sr_1_179?keywords=Prenatal+vitamin&qid=1681625884&sr=8-179,"Prenatal vitamin
",2023-04-16
45,https://www.amazon.com.au/LIVS-MenS-MULTIVITAMIN-Gummies/dp/B0BTZW2ZW4/ref=sr_1_180?keywords=Prenatal+vitamin&qid=1681625884&sr=8-180,"Prenatal vitamin
",2023-04-16
46,https://www.amazon.com.au/Hello-Bello-Vitamins-Vegetarian-Strawberry/dp/B0B44FYW5H/ref=sr_1_181?keywords=Prenatal+vitamin&qid=1681625884&sr=8-181,"Prenatal vitamin
",2023-04-16
47,https://www.amazon.com.au/Pregnant-Sculpture-Figurine-Waterproof-Liushui/dp/B0BPDLSQ17/ref=sr_1_182?keywords=Prenatal+vitamin&qid=1681625884&sr=8-182,"Prenatal vitamin
",2023-04-16
