,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/NatureWise-Multivitamin-Minerals-Sensoril-Ashwagandha/dp/B076W77DL7/ref=sr_1_241?keywords=Prenatal+vitamin&qid=1681625894&sr=8-241,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/Pack-Pregnacare-Vitabiotics-Conception-Tablets/dp/B07QXS1MQJ/ref=sr_1_242?keywords=Prenatal+vitamin&qid=1681625894&sr=8-242,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/Pregnancy-Sculpture-Imitation-Mother-Statue/dp/B0BMZ8PZL9/ref=sr_1_243?keywords=Prenatal+vitamin&qid=1681625894&sr=8-243,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/New-Chapter-Every-Womans-Tablets/dp/B00SPRW8OQ/ref=sr_1_244?keywords=Prenatal+vitamin&qid=1681625894&sr=8-244,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Pregnant-Figurine-Pregnancy-Waterproof-Sculpture/dp/B0BPDKSLVS/ref=sr_1_245?keywords=Prenatal+vitamin&qid=1681625894&sr=8-245,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/Complete-Multivitamin-3-PACK-Tablets-Vitamin/dp/B01MXCVPND/ref=sr_1_246?keywords=Prenatal+vitamin&qid=1681625894&sr=8-246,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/Complete-Multivitamin-2-PACK-Tablets-Vitamin/dp/B01N01BAZ2/ref=sr_1_247?keywords=Prenatal+vitamin&qid=1681625894&sr=8-247,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/Complete-Multivitamin-Tablets-Adults-Vitamin/dp/B00I0NVDMS/ref=sr_1_248?keywords=Prenatal+vitamin&qid=1681625894&sr=8-248,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Birthing-Sculpture-Longlasting-Imitation-Decoration/dp/B0BMZ91KY1/ref=sr_1_249?keywords=Prenatal+vitamin&qid=1681625894&sr=8-249,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/21st-Century-Vitajoy-Gummies-Strawberry/dp/B00WW8X0ZK/ref=sr_1_250?keywords=Prenatal+vitamin&qid=1681625894&sr=8-250,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/NAT-MEGA-MULTI-CHEL-MIN/dp/B00523AIK2/ref=sr_1_241?keywords=Prenatal+vitamin&qid=1681625894&sr=8-241,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/OptiHealth-Products-XtraVITE-Isotonic-Multivitamin/dp/B004VLV7D8/ref=sr_1_242?keywords=Prenatal+vitamin&qid=1681625894&sr=8-242,"Prenatal vitamin
",2023-04-16
