,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/New-Chapter-Multivitamin-Probiotics-Ingredients/dp/B00FBPEV7M/ref=sr_1_97?keywords=Prenatal+vitamin&qid=1681625880&sr=8-97,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/Supplement-Relaxation-Best-Nest-Wellness/dp/B0B3XSG3Z8/ref=sr_1_98?keywords=Prenatal+vitamin&qid=1681625880&sr=8-98,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/Centrum-Multivitamin-Multimineral-Minis-Adults/dp/B0B74ZF6V8/ref=sr_1_99?keywords=Prenatal+vitamin&qid=1681625880&sr=8-99,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/Truvani-Daily-USDA-Organic-Multivitamin/dp/B0B3NL9Q5D/ref=sr_1_100?keywords=Prenatal+vitamin&qid=1681625880&sr=8-100,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Simply8-Iron-Gummies-20-Deficiency/dp/B0B1V55P82/ref=sr_1_101?keywords=Prenatal+vitamin&qid=1681625880&sr=8-101,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/Natal-Nourish-Breastfeeding-All-Natural-Absorption/dp/B077416X7Q/ref=sr_1_102?keywords=Prenatal+vitamin&qid=1681625880&sr=8-102,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/VitaCraves-Multivitamin-Gummies-Supplement-Vitamins/dp/B07P3DF6DC/ref=sr_1_103?keywords=Prenatal+vitamin&qid=1681625880&sr=8-103,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/New-Chapter-Multivitamin-Probiotics-Ingredients/dp/B003DH7SAM/ref=sr_1_104?keywords=Prenatal+vitamin&qid=1681625880&sr=8-104,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Smartypants-Organic-Prenatal-Formula-120ct/dp/B08MXVF4G5/ref=sr_1_105?keywords=Prenatal+vitamin&qid=1681625880&sr=8-105,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/Garden-Life-mykind-Organics-Gummies/dp/B06XSCPJZK/ref=sr_1_106?keywords=Prenatal+vitamin&qid=1681625880&sr=8-106,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/Research-Nutrition-Nutritional-Lactating-Conceive/dp/B07F3F9B96/ref=sr_1_97?keywords=Prenatal+vitamin&qid=1681625880&sr=8-97,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/New-Chapter-Multivitamin-Probiotics-Ingredients/dp/B003DH9R3I/ref=sr_1_98?keywords=Prenatal+vitamin&qid=1681625880&sr=8-98,"Prenatal vitamin
",2023-04-16
12,https://www.amazon.com.au/SmartyPants-Organics-Complete-Multivitamin-Vegetarian/dp/B079YXFCWT/ref=sr_1_99?keywords=Prenatal+vitamin&qid=1681625880&sr=8-99,"Prenatal vitamin
",2023-04-16
13,https://www.amazon.com.au/Natures-Bounty-Multivitamin-Strawberry-Raspberry/dp/B09SKGJVG2/ref=sr_1_100?keywords=Prenatal+vitamin&qid=1681625880&sr=8-100,"Prenatal vitamin
",2023-04-16
14,https://www.amazon.com.au/Pink-Stork-Postpartum-Hair-Gummies/dp/B0948BT4X7/ref=sr_1_101?keywords=Prenatal+vitamin&qid=1681625880&sr=8-101,"Prenatal vitamin
",2023-04-16
15,https://www.amazon.com.au/NutraCare-PregmaPlus-Preconception-Trimester-Supplement/dp/B08FRF6RHP/ref=sr_1_102?keywords=Prenatal+vitamin&qid=1681625880&sr=8-102,"Prenatal vitamin
",2023-04-16
16,https://www.amazon.com.au/Medleymin-MultiVitamin-Supplement-Spirulina-Vegan-Non/dp/B09GRJ5JHD/ref=sr_1_103?keywords=Prenatal+vitamin&qid=1681625880&sr=8-103,"Prenatal vitamin
",2023-04-16
17,https://www.amazon.com.au/Complete-Multivitamin-Supports-B-Vitamins-Gluten-Free/dp/B0BH8C4Y4H/ref=sr_1_104?keywords=Prenatal+vitamin&qid=1681625880&sr=8-104,"Prenatal vitamin
",2023-04-16
18,https://www.amazon.com.au/PLATINUM-NATURALS-Prenatal-EasyIron%C2%AE-Gentle/dp/B00CORNJS2/ref=sr_1_105?keywords=Prenatal+vitamin&qid=1681625880&sr=8-105,"Prenatal vitamin
",2023-04-16
19,https://www.amazon.com.au/Vegan-Multivitamin-Mineral-Daily-Tablets/dp/B00F01IP88/ref=sr_1_106?keywords=Prenatal+vitamin&qid=1681625880&sr=8-106,"Prenatal vitamin
",2023-04-16
20,https://www.amazon.com.au/Frida-Mom-Postpartum-Supplement-Breastfeeding/dp/B099FMQH4B/ref=sr_1_107?keywords=Prenatal+vitamin&qid=1681625880&sr=8-107,"Prenatal vitamin
",2023-04-16
