,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A1PG4UGXWS4JRS&qualifier=1681625875&id=901832652347221&widgetName=sp_atf_next&url=%2FCONCEIVE-PLUS-Myo-Inositol-D-Chiro-Inositol%2Fdp%2FB097FDXMCL%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DPrenatal%2Bvitamin%26qid%3D1681625875%26sr%3D8-49-spons%26psc%3D1,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/Prioritize-Development-Prenatal-Multivitamin-Softgels/dp/B0BW6W72P9/ref=sr_1_50?keywords=Prenatal+vitamin&qid=1681625875&sr=8-50,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/Baby-Blues-Prenatal-Complete-Gummies/dp/B09XHGW143/ref=sr_1_51?keywords=Prenatal+vitamin&qid=1681625875&sr=8-51,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/Prenatal-Vitamin-Gummies-Folic-Nutrients/dp/B0BDTFGYTQ/ref=sr_1_52?keywords=Prenatal+vitamin&qid=1681625875&sr=8-52,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Rugby-Prenatal-Vitamins-100-Tabs/dp/B003QB38KE/ref=sr_1_53?keywords=Prenatal+vitamin&qid=1681625875&sr=8-53,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/NOURISHED-Prenatal-Pregnancy-Vitamins-Gummies/dp/B09W2XJY93/ref=sr_1_54?keywords=Prenatal+vitamin&qid=1681625875&sr=8-54,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/Undeniable-Gummies-Grapefruit-Chewable-Supplement/dp/B014G3WK9U/ref=sr_1_55?keywords=Prenatal+vitamin&qid=1681625875&sr=8-55,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/Safrel-PreNatal-Pregnancy-Vitamins-Raspberry/dp/B0BDWDGM6Q/ref=sr_1_56?keywords=Prenatal+vitamin&qid=1681625875&sr=8-56,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Prenatal-Including-Multivitamin-Spring-Valley/dp/B07ZY9189V/ref=sr_1_57?keywords=Prenatal+vitamin&qid=1681625875&sr=8-57,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/Spring-Valley-Prenatal-Multivitamin-Gummies/dp/B07T99PD4W/ref=sr_1_58?keywords=Prenatal+vitamin&qid=1681625875&sr=8-58,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/SUKU-Vitamins-Complete-Prenatal-Essential/dp/B08Z8MR3JR/ref=sr_1_49?keywords=Prenatal+vitamin&qid=1681625875&sr=8-49,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/Vitabiotics-England-Pregnacare-Tablets-Capsules/dp/B00RGUIEG4/ref=sr_1_50?keywords=Prenatal+vitamin&qid=1681625875&sr=8-50,"Prenatal vitamin
",2023-04-16
12,https://www.amazon.com.au/Pink-Stork-Pregnancy-Glow-Gummies/dp/B08Z8JHQYR/ref=sr_1_51?keywords=Prenatal+vitamin&qid=1681625875&sr=8-51,"Prenatal vitamin
",2023-04-16
13,https://www.amazon.com.au/HealthDose-Prenatal-Postnatal-Vitamins-Lactating/dp/B0BK2QPTZ3/ref=sr_1_52?keywords=Prenatal+vitamin&qid=1681625875&sr=8-52,"Prenatal vitamin
",2023-04-16
14,https://www.amazon.com.au/Natifi-Fertility-Ovulation-Conception-Multivitamin/dp/B0BJXXC2CS/ref=sr_1_53?keywords=Prenatal+vitamin&qid=1681625875&sr=8-53,"Prenatal vitamin
",2023-04-16
15,https://www.amazon.com.au/Salaam-Nutritionals-Prenatal-Multivitamins-Friendly/dp/B07FFCQM44/ref=sr_1_54?keywords=Prenatal+vitamin&qid=1681625875&sr=8-54,"Prenatal vitamin
",2023-04-16
16,https://www.amazon.com.au/Elevit-Breastfeeding-Multivitamin-Capsules-Grams/dp/B07GT1WQSD/ref=sr_1_55?keywords=Prenatal+vitamin&qid=1681625875&sr=8-55,"Prenatal vitamin
",2023-04-16
17,https://www.amazon.com.au/Natures-Way-Prenatal-Gummies-90/dp/B01KGLIVCQ/ref=sr_1_56?keywords=Prenatal+vitamin&qid=1681625875&sr=8-56,"Prenatal vitamin
",2023-04-16
18,https://www.amazon.com.au/Vitabiotics-Pregnacare-Conception-Tablets-Capsules/dp/B0B1DL1J62/ref=sr_1_57?keywords=Prenatal+vitamin&qid=1681625875&sr=8-57,"Prenatal vitamin
",2023-04-16
19,https://www.amazon.com.au/The-Complete-Prenatal-60-gummies/dp/B08ZM7D2B2/ref=sr_1_58?keywords=Prenatal+vitamin&qid=1681625875&sr=8-58,"Prenatal vitamin
",2023-04-16
20,https://www.amazon.com.au/ROYAL-AUSNZ-pregnant-mother-formula/dp/B07CRTS2FR/ref=sr_1_59?keywords=Prenatal+vitamin&qid=1681625875&sr=8-59,"Prenatal vitamin
",2023-04-16
21,https://www.amazon.com.au/GreenPeach-Pre-Natal-Nutrient-Natural-Flavor/dp/B07D9WP5PG/ref=sr_1_60?keywords=Prenatal+vitamin&qid=1681625875&sr=8-60,"Prenatal vitamin
",2023-04-16
22,https://www.amazon.com.au/Pre-Conception-Multivitamin-Supplement-Selenium-Lycopene/dp/B08KFS8FZN/ref=sr_1_61?keywords=Prenatal+vitamin&qid=1681625875&sr=8-61,"Prenatal vitamin
",2023-04-16
